driverGroup,GP,finishPosition,driverName,team,startPosition,gap,driverStatus
AFEC,San Marino,1,az,LJK Team,6,,FINISHED
AFEC,San Marino,2,littleredhat,WE LUV MUA,9,+2.631,FINISHED
AFEC,San Marino,3,Seb V5,LJK Team,3,+25.598,FINISHED
AFEC,San Marino,4,mushimu,Kids See Ghost,4,+26.773,FINISHED
AFEC,San Marino,5,zbk,did not finsh,10,+33.254,FINISHED
AFEC,San Marino,6,Mysery,My Sky,5,+71.854,FINISHED
AFEC,San Marino,7,Head brother,did not finsh,8,+1 Lap,FINISHED
AFEC,San Marino,8,LINGJ,muamua,2,+1 Lap,FINISHED
AFEC,San Marino,9,Mikko,Kids See Ghost,1,DNF,DNF
AFEC,San Marino,10,i4foru,WE LUV MUA,7,DNF,RETIRED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
