driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Spain,1,Mushi,Reserve,1:16.720,S,FINISHED
A1,Spain,2,Suburbanite,CodeMaster Sucks,1:16.882,S,FINISHED
A1,Spain,3,Quick Nick,QGod,1:16.983,S,FINISHED
A1,Spain,4,zbk,DNF,1:17.043,S,FINISHED
A1,Spain,5,bomber-20,ABC,1:17.087,S,FINISHED
A1,Spain,6,mushimu,Pit Lane Killer,1:17.145,S,FINISHED
A1,Spain,7,LHAM66,Reserve,1:17.186,S,FINISHED
A1,Spain,8,Asuka,Reserve,1:17.226,S,FINISHED
A1,Spain,9,Alick,QGod,1:17.352,S,FINISHED
A1,Spain,10,RROY,CodeMaster Sucks,1:17.414,S,FINISHED
A1,Spain,11,Garland,Reserve,1:17.419,S,FINISHED
A1,Spain,12,Livistar,Reserve,1:17.516,S,FINISHED
A1,Spain,13,Wilson Leclerc,A2,1:17.615,S,FINISHED
A1,Spain,14,Kogasa,Pit Lane Killer,1:18.725,S,FINISHED
A1,Spain,15,lingerr,Reserve,1:18.979,S,FINISHED
A1,Spain,16,Head brother,DNF,,,FINISHED
A1,Spain,17,SHZ,ABC,,,QB
