driverName,team,driverGroup,driverStatus,joinTime,raceBan,qualiBan
Mushi,Testing,AFEC,testing driver,2022/10/10,0,0
Niraschtoe,Testing,AFEC,testing driver,2022/10/10,0,0
guagua,Testing,AFEC,testing driver,2022/10/10,0,0
Asuka,Testing,AFEC,testing driver,2022/10/10,0,0
Harden,Testing,AFEC,testing driver,2022/10/10,0,0
Alick,Testing,AFEC,testing driver,2022/10/10,0,0
Garland,Testing,AFEC,testing driver,2022/10/10,0,0
HiHi,Testing,AFEC,testing driver,2022/10/10,0,0
Christian Horner,Testing,AFEC,testing driver,2022/10/10,0,0
Quick Nick,Testing,AFEC,testing driver,2022/10/10,0,0
,,,,,2,2
