driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Australia,1,jack,j r y,4,1:21.116,,FINISHED
A2,Australia,2,Ayanami,WOFA C2H6,7,1:21.290,+16.684,FINISHED
A2,Australia,3,HanyueYY,TOP,19,1:21.568,+43.127,FINISHED
A2,Australia,4,Go7D3n WEST 999,Na'as,3,1:21.463,+47.174,FINISHED
A2,Australia,5,tinnycatty809yhb,j r y,2,1:21.977,+47.434,FINISHED
A2,Australia,6,LINGJ,muamua,13,1:22.452,+49.194,FINISHED
A2,Australia,7,Lugo,Team HII,17,1:24.192,+1 Lap,FINISHED
A2,Australia,8,Mikko,WOFA C2H6,9,1:21.867,+1 Lap,FINISHED
A2,Australia,9,RainBow,Reserve,15,1:22.666,+1 Lap,FINISHED
A2,Australia,10,Complexy,Reserve,14,1:22.072,+2 Lap,FINISHED
A2,Australia,11,Y,Low Speed Player,5,1:22.771,DNF,RETIRED
A2,Australia,12,M4,Team HII,18,1:21.277,DNF,RETIRED
A2,Australia,13,YakumoCC,Low Speed Player,6,1:22.680,DNF,RETIRED
A2,Australia,14,Wilson Leclerc,NIO333,8,,DNF,RETIRED
A2,Australia,15,i4foru,Reserve,10,,DNF,RETIRED
A2,Australia,16,SHZ,Reserve,1,,DNF,DSQ
A2,Australia,17,hhhzw,Reserve,11,,DNF,DSQ
A2,Australia,18,KINGBOB,muamua,12,,DNF,DSQ
A2,Australia,19,Charlotte Amor,Na'as,16,,DNF,DSQ
,,,,,,,,
